"foot(5,6)/dim","foot(NC.V,VI).DIM"
forget/t^pf,forget.PRF
forgive/t^pf,forgive.PRF
f^f1,FUT1
gather_locust/t^pf,gather_locust.PRF
get_full/t^pf,get_full.PRF
go/p,go.PASS
go/t^pf,go.PRF
grab/p/t^pf,grab.PASS.PRF
grab/t^pf,grab.PRF
grind/t^pf,grind.PRF
"grindstone(9,10)/dim","grindstone(NC.IX,X).DIM"
grow/p,grow.PASS
hide/t^pf,hide.PRF
hold_in_fist/t^pf,hold_in_fist.PRF
"horse(9,10)/dim","horse(NC.IX,X).DIM"
"house(9,10|6)/dim","house(NC.IX,X).DIM"
"house(9,10|6)/lc","house(NC.IX,X/VI).LOC"
"hut(3,4)/dim","hut(NC.III,IV).DIM"
id^be_silent,IDEOPH
id^break,IDEOPH
id^enter,IDEOPH
id^fall,IDEOPH
id^fall_over_and_over,IDEOPH
id^frighten,IDEOPH
id^hop,IDEOPH
id^jump,IDEOPH
id^roll,IDEOPH
id^roll_over,IDEOPH
id^shine,IDEOPH
if,COND
"inside_mouth(5,6)/lc","inside_mouth(NC.V,VI).LOC"
know/p,know.PASS
leave/ap,leave.APPL
leave/t^pf,leave.PRF
leave_behind/ap,leave_behind.APPL
lend/t^pf,lend.PRF
listen/t^pf,listen.PRF
load/ap/t^pf,load.APPL.PRF
loc,LOC
lock/t^pf,lock.PRF
lr,REL.LOC
make_big/t^pf,make_big.PRF
marry/p,marry.PASS
milk/p,milk.PASS
"monkey(9,10)/dim","monkey(NC.IX,X).DIM"
"mouth(3,4)/dim","mouth(NC.III,IV).DIM"
m^im,IMP
m^in,IND
neg,NEG
nm,NUM
not_give/p,not_give.PASS
not_give/t^pf,not_give.PRF
nurse/c,nurse.CAUS
"old_person(5,6)/dim","old_person(NC.V,VI).DIM"
open/t^pf,open.PRF
pass_gas/t^pf,pass_gas.PRF
peel/nt,peel.CHOS
peel/t^pf,peel.PRF
pierce/p,pierce.PASS
pierce/t^pf,pierce.PRF
pin/t^pf,pin.PRF
plaster/t^pf,plaster.PRF
polish/t^pf,polish.PRF
pour/rv,pour.REVERS
pour/t^pf,pour.PRF
ps/home,POSS.home
pull_out/nt,pull_out.CHOS
punch/t^pf,punch.PRF
put_on/t^pf,put_on.PRF
q,Q
raise_up/t^pf,raise_up.PRF
rc,RECP
refuse/t^pf,refuse.PRF
remain/t^pf,remain.PRF
remember/t^pf,remember.PRF
renounce/t^pf,renounce.PRF
reprimand/t^pf,reprimand.PRF
rest/c,rest.CAUS
rest/t^pf,rest.PRF
ride/t^pf,ride.PRF
"robe(3,4)/dim","robe(NC.III,IV).DIM"
say/t^pf,say.PRF
say_m^i,say.IMP
scrape/nt,scrape.CHOS
scrape/t^pf,scrape.PRF
see/t^pf,see.PRF
send_away/t^pf,send_away.PRF
serve_right/nt,serve_right.CHOS
shoot/t^pf,shoot.PRF
sing/t^pf,sing.PRF
sing_poorly/t^pf,sing_poorly.PRF
sit/t^pf,sit.PRF
sleep/t^pf,sleep.PRF
slice/t^pf,slice.PRF
smash/p,smash.PASS
smear/t^pf,smear.PRF
snatch/t^pf,snatch.PRF
spit/t^pf,spit.PRF
split/nt,split.CHOS
spoil/t^pf,spoil.PRF
stab/p,stab.PASS
"stick(9,10)/dim","stick(NC.IX,X).DIM"
strangle/t^pf,strangle.PRF
suit/t^pf,suit.PRF
swallow/t^pf,swallow.PRF
sweep/t^pf,sweep.PRF
take_off/t^pf,take_off.PRF
tear/nt,tear.CHOS
tear/t^pf,tear.PRF
tell/t^pf,tell.PRF
"thing(9,10)/dim","thing(NC.IX,X).DIM"
thresh/t^pf,thresh.PRF
tire/t^pf,tire.PRF
trip/p,trip.PASS
turn_over/nt,turn_over.CHOS
turn_over/t^pf,turn_over.PRF
t^be/pf,be.PRF
t^f4_buy,FUT4.buy
t^hla/pf,do.indeed.PRF
t^hlola,TENSE
t^p.feed/p,PRS.feed.PASS
t^p.om2a,PRS.NC.IIa.OBJ
t^p.om2p,PRS.2PL.OBJ
t^p.pour.water.in.pot,PRS.pour_water_in_pot
t^p.say,PRS.say
t^p.shine/c,PRS.shine.CAUS
t^pf/m^s,PRF.SBJV1
t^po/pf,POT.PRF
t^po/t^pf,POT.PRF
t^p_,PRS
t^p_abandon,PRS.abandon
t^p_add,PRS.add
t^p_agree,PRS.agree
t^p_amuse,PRS.amuse
t^p_annoy,PRS.annoy
t^p_answer,PRS.answer
t^p_appear,PRS.appear
t^p_arrive,PRS.arrive
t^p_ascend,PRS.ascend
t^p_ascend/c,PRS.ascend.CAUS
t^p_ask,PRS.ask
t^p_attack,PRS.attack
t^p_baptize,PRS.baptize
t^p_be,PRS.be
t^p_beat,PRS.beat
t^p_become_accustomed,PRS.become_accustomed
t^p_become_crazy,PRS.become_crazy
t^p_become_dry,PRS.become_dry
